meal_id,meal_name,description,ingredients,estimated_cost_ngn,cooking_time_minutes,difficulty,moods,meal_times,ingredient_count,mood_count,is_budget_meal,is_quick_meal
M040,Ogbono Soup and Garri,Ogbono soup served with garri,ogbono|pepper|tomato|onion|seasoning|oil|garri,3200,55,medium,comforting|hungry|special,lunch|dinner,7,3,False,False
M041,Achi Soup and Garri,Achi-thickened soup served with garri,achi|pepper|tomato|onion|seasoning|oil|garri,3000,55,medium,comforting|hungry|special,lunch|dinner,7,3,False,False
M042,Irish Potato and Egg,Boiled or fried potatoes with eggs,potato|egg|onion|pepper|seasoning|oil,1700,25,easy,tired|comforting|budget,breakfast|lunch|dinner,6,3,True,False
M043,Potato Porridge,Potatoes cooked in a peppery tomato sauce,potato|tomato|pepper|onion|seasoning|oil,1700,35,easy,comforting|hungry|spicy,lunch|dinner,6,3,True,False
M044,Potato and Sardine,Potatoes served with sardine pepper sauce,potato|sardine|pepper|onion|tomato|seasoning|oil,2200,30,easy,craving|hungry|quick,lunch|dinner,7,3,False,False
M045,Akara and Pap,Akara served with pap,beans|pepper|onion|oil|pap,1800,50,medium,comforting|budget|hungry,breakfast|dinner,5,3,True,False
M046,Pap and Egg,Warm pap served with scrambled egg,pap|egg|onion|pepper|seasoning|oil,1200,15,easy,tired|comforting|budget,breakfast|late-night,6,3,True,True
M047,Pancakes,Simple pancakes served plain or with toppings,flour|egg|milk|sugar|oil,1800,25,easy,happy|craving|special,breakfast|late-night,5,3,True,False
M048,Chicken Sandwich,Bread with seasoned chicken and vegetables,bread|chicken|onion|tomato|pepper|seasoning,3000,25,medium,happy|craving|quick,breakfast|lunch|dinner,6,3,False,False
M049,Indomie and Sausage,Instant noodles with sausage and egg,noodles|sausage|egg|onion|pepper|seasoning|oil,2200,15,easy,tired|craving|quick|late-night,lunch|dinner|late-night,7,4,False,True
M050,Spicy Tomato Spaghetti,Spaghetti in a hot tomato-pepper sauce,spaghetti|tomato|pepper|onion|seasoning|oil,1700,30,easy,spicy|craving|comforting,lunch|dinner,6,3,True,False
